tconst,year,budget
tt0099088,1990,40000000
tt0099165,1990,47000000
tt0099348,1990,22000000
tt0099422,1990,47000000
tt0099423,1990,70000000
tt0099587,1991,35000000
tt0099611,1990,2500000
tt0099653,1990,22000000
tt0099674,1990,54000000
tt0099747,1990,40000000
tt0099785,1990,18000000
tt0099810,1990,30000000
tt0099938,1990,15000000
tt0100029,1990,6000000
tt0100142,1990,230000
tt0100332,1990,500000
tt0100405,1990,14000000
tt0100758,1990,13500000
tt0100802,1990,65000000
tt0101272,1991,30000000
tt0101356,1991,17000000
tt0101414,1991,25000000
tt0101453,1991,48000000
tt0101507,1991,6500000
tt0101587,1991,27000000
tt0101588,1991,3000000
tt0101615,1991,6000000
tt0101701,1991,18000000
tt0101786,1991,17000000
tt0101831,1991,13000000
tt0101902,1991,40000000
tt0101917,1991,11000000
tt0102005,1991,23000000
tt0102032,1992,300000
tt0102057,1991,70000000
tt0102059,1991,26000000
tt0102065,1991,5000000
tt0102070,1991,65000000
tt0102175,1991,14000000
tt0102303,1991,13000000
tt0102307,1992,5000000
tt0102370,1991,4500000
tt0102395,1991,13000000
tt0102411,1991,26000000
tt0102492,1991,17000000
tt0102510,1991,23000000
tt0102526,1991,8000000
tt0102558,1991,40000000
tt0102614,1991,14000000
tt0102753,1991,7500000
tt0102782,1991,11000000
tt0102798,1991,48000000
tt0102803,1991,35000000
tt0102818,1991,16000000
tt0102849,1991,3000000
tt0102898,1991,1400000
tt0102926,1991,19000000
tt0102943,1990,23000
tt0102945,1991,19000000
tt0103007,1991,22000000
tt0103060,1991,25000000
tt0103064,1991,102000000
tt0103074,1991,16500000
tt0103128,1991,15000000
tt0103247,1991,14000000
tt0103594,1992,47000000
tt0103639,1992,28000000
tt0103644,1992,50000000
tt0103772,1992,49000000
tt0103776,1992,80000000
tt0103859,1992,42000000
tt0103874,1992,40000000
tt0103962,1992,40000000
tt0104070,1992,55000000
tt0104231,1992,60000000
tt0104257,1992,41000000
tt0104438,1992,25000000
tt0104691,1992,40000000
tt0104692,1992,10000000
tt0104694,1992,40000000
tt0104714,1992,35000000
tt0104839,1992,40000000
tt0104868,1992,10000000
tt0104940,1992,12000000
tt0104990,1992,15000000
tt0105112,1992,45000000
tt0105121,1991,6000000
tt0105130,1992,5000000
tt0105226,1993,8000000
tt0105236,1992,1200000
tt0105378,1991,14000000
tt0105399,1992,10000000
tt0105526,1991,19000000
tt0105793,1992,20000000
tt0106226,1993,34000000
tt0106264,1993,1000000
tt0106379,1994,40000000
tt0106453,1992,30000000
tt0106519,1993,30000000
tt0106582,1993,70000000
tt0106611,1993,14000000
tt0106941,1993,30000000
tt0106950,1992,8000000
tt0107004,1993,35000000
tt0107096,1993,33000000
tt0107151,1993,40000000
tt0107156,1993,1000000
tt0107206,1993,40000000
tt0107290,1993,63000000
tt0107362,1993,85000000
tt0107614,1993,25000000
tt0107616,1993,11000000
tt0107719,1993,19000000
tt0107818,1993,26000000
tt0107978,1993,22000000
tt0108052,1993,22000000
tt0108101,1993,22000000
tt0108148,1993,11000000
tt0108160,1993,21000000
tt0108255,1993,48000000
tt0108308,1993,21000000
tt0108327,1993,14000000
tt0108525,1993,40000000
tt0109040,1994,15000000
tt0109190,1994,48000000
tt0109254,1994,50000000
tt0109370,1995,11000000
tt0109444,1994,62000000
tt0109445,1994,27000
tt0109456,1994,40000000
tt0109579,1994,12000000
tt0109635,1994,55000000
tt0109676,1994,45000000
tt0109686,1994,17000000
tt0109707,1994,18000000
tt0109813,1994,46000000
tt0109830,1994,55000000
tt0109831,1994,4400000
tt0109836,1994,45000000
tt0110005,1994,5000000
tt0110074,1994,40000000
tt0110097,1994,40000000
tt0110099,1994,25000000
tt0110148,1994,60000000
tt0110197,1994,30000000
